,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon
0,4505,——,——,广东省江门市台山市赤溪镇,1945年7月7日,10级，25m/s，985hPa,8级，20m/s，994hPa,"(21.975801, 112.899795)",21.975801,112.899795
1,4510,——,——,广东省湛江市吴川市振文镇,1945年8月10日,13级，41m/s，960hPa,8级，20m/s，994hPa,"(21.422245, 110.709912)",21.422245,110.709912
2,4515,——,——,广东省惠州市惠阳区澳头镇,1945年8月25日,12级，35m/s，970hPa,12级，35m/s，970hPa,"(22.729788, 114.533781)",22.729788,114.533781
3,4516,——,——,台湾省花莲县新城乡,1945年9月2日,16级，53m/s，940hPa,14级，42m/s，955hPa,"(24.0548042, 121.6111949)",24.0548042,121.6111949
4,4516,——,——,福建省福州市马尾区琅岐镇,1945年9月3日,16级，53m/s，940hPa,10级，25m/s，985hPa,"(26.08539, 119.583599)",26.08539,119.583599
5,4517,——,——,台湾省台东县东河乡,1945年9月10日,14级，46m/s，948hPa,12级，35m/s，970hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249
6,4517,——,——,福建省福州市福清市东瀚镇,1945年9月11日,14级，46m/s，948hPa,10级，28m/s，982hPa,"(25.43389, 119.607001)",25.43389,119.607001
7,4519,——,——,海南省万宁市和乐镇,1945年9月21日,10级，25m/s，985hPa,10级，25m/s，985hPa,"(18.903521, 110.477641)",18.903521,110.477641
8,4603,——,——,浙江省台州市温岭市石塘镇,1946年6月23日,16级，56m/s，935hPa,12级，35m/s，970hPa,"(28.278539, 121.606196)",28.278539,121.606196
9,4606,——,Lngrid,香港特别行政区,1946年7月18日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324
10,4606,——,Lngrid,广东省珠海市香洲区南屏镇,1946年7月18日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(22.219098, 113.509772)",22.219098,113.509772
11,4610,——,——,广东省江门市台山市汶村镇,1946年9月12日,14级，46m/s，953hPa,14级，46m/s，953hPa,"(21.857424, 112.492654)",21.857424,112.492654
12,4612,——,——,台湾省屏东县满州乡,1946年9月25日,17级，61m/s，920hPa,14级，43m/s，958hPa,"(22.04385, 120.8384093)",22.04385,120.8384093
13,4705,——,——,海南省陵水黎族自治县黎安镇,1947年7月18日,7级，17m/s，997hPa,7级，15m/s，998hPa,"(18.437315, 110.069641)",18.437315,110.069641
14,4708,——,Opal,广东省阳江市阳西县沙扒镇,1947年8月13日,12级，35m/s，970hPa,10级，28m/s，985hPa,"(21.519181, 111.463919)",21.519181,111.463919
15,4709,——,——,福建省宁德市霞浦县下浒镇,1947年8月29日,16级，51m/s，945hPa,12级，35m/s，970hPa,"(26.611258, 119.95511)",26.611258,119.95511
16,4713,——,——,广东省湛江市坡头区南三镇,1947年9月25日,13级，38m/s，965hPa,7级，15m/s，998hPa,"(21.150907, 110.552974)",21.150907,110.552974
