,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
1,6003,——,Olive,广东省湛江市吴川市吴阳镇,1960年6月30日,17级，60m/s，950hPa,11级，30m/s，980hPa,"(21.347075, 110.692104)",21.347075,110.692104,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
2,6003,——,Olive,广西省北海市银海区银滩镇,1960年6月30日,17级，60m/s，950hPa,11级，30m/s，985hPa,"(21.418886, 109.156697)",21.418886,109.156697,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
3,6005,——,Polly,山东省威海市乳山市海阳所镇,1960年7月28日,17+级，70m/s，950hPa,11级，30m/s，983hPa,"(36.813372, 121.620148)",36.813372,121.620148,"('Shandong Sheng', 'Weihai Shi')",Weihai Shi,Shandong Sheng
4,6005,——,Polly,辽宁省葫芦岛市北港区北港镇,1960年7月29日,17+级，70m/s，950hPa,8级，18m/s，998hPa,"(40.767914, 120.91437)",40.767914,120.91437,"('Liaoning Sheng', 'Huludao Shi')",Huludao Shi,Liaoning Sheng
5,6007,——,Shirley,台湾省宜兰县五结乡,1960年7月31日,17+级，70m/s，910hPa,17级，60m/s，930hPa,"(24.6887633, 121.8050125)",24.6887633,121.8050125,"('Liaoning Sheng', 'Huludao Shi')",Huludao Shi,Liaoning Sheng
6,6007,——,Shirley,福建省福州市连江县苔菉镇,1960年8月1日,17+级，70m/s，910hPa,12级，35m/s，980hPa,"(26.353358, 119.936046)",26.353358,119.936046,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
7,6007,——,Shirley,山东省青岛市崂山区金玉山,1960年8月5日,17+级，70m/s，910hPa,8级，20m/s，993hPa,"(36.107538, 120.468956)",36.107538,120.468956,"('Shandong Sheng', 'Qingdao Shi')",Qingdao Shi,Shandong Sheng
8,6008,——,Tirx,台湾省新北市万里区,1960年8月8日,17+级，65m/s，929hPa,15级，50m/s，965hPa,"(25.1676024, 121.6397184)",25.1676024,121.6397184,"('Shandong Sheng', 'Qingdao Shi')",Qingdao Shi,Shandong Sheng
9,6008,——,Tirx,福建省漳州市漳浦县赤湖镇,1960年8月9日,17+级，65m/s，929hPa,10级，28m/s，980hPa,"(24.112267, 117.87614)",24.112267,117.87614,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
10,6012,——,Agnes,台湾省宜兰县苏澳镇,1960年8月14日,10级，25m/s，994hPa,10级，25m/s，994hPa,"(24.594229, 121.8533264)",24.594229,121.8533264,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
11,6012,——,Agnes,广东省汕尾市陆丰市甲东镇,1960年8月15日,10级，25m/s，994hPa,6级，12m/s，996hPa,"(22.876766, 116.101101)",22.876766,116.101101,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
12,6016,——,Elaine,台湾省台东县东河乡,1960年8月23日,13级，40m/s，975hPa,10级，25m/s，990hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
